0,1,2,3
"""6/6/66""",USA,39.7837304,-100.445882
"""7 Tods�nden""","Salzburg, Austria",47.7981346,13.0464806
"""773 the Go""","Chicago, Illinois, USA",41.8755616,-87.6244212
"""773 the Go""",USA,39.7837304,-100.445882
"""800 Words""",New Zealand,-41.5000831,172.8344077
"""800 Words""","Auckland, New Zealand",-36.852095,174.7631803
"""800 Words""","Sydney, New South Wales, Australia",-33.8548157,151.2164539
"""800 Words""",New Zealand,-41.5000831,172.8344077
"""800 Words""",New Zealand,-41.5000831,172.8344077
"""800 Words""","Warkworth, New Zealand",-36.3984914,174.6642316
"""800 Words""",New Zealand,-41.5000831,172.8344077
"""800 Words""","Kaipara College, 36 Rautawhiri Road, Helensville, New Zealand",-36.6787327,174.45956656115425
